AA制	ei˥ ei˥ ʦɐi˧
教条主义	kaːu˧ tʰiːu˨˩ ʦyː˧˥ iː˨
教條	kaːu˧ tʰiːu˨˩
教條主義	kaːu˧ tʰiːu˨˩ tsyː˧˥ jiː˨
教派	kaːu˧ pʰaːi˧
教父	kaːu˧ fuː˨
教皇	kaːu˧ wɔːŋ˨˩
教研	kaːu˧ iːn˨˩
教科书	kaːu˧ fɔː˥ syː˥
教科文	kaːu˧ fɔː˥ mɐn˨˩
教科書	kaːu˧ fɔː˥ syː˥
教程	kaːu˧ ʦʰɪŋ˨˩
教練	kaːu˧ liːn˨
教练	kaːu˧ liːn˨
教義	kaːu˧ jiː˨
教职	kaːu˧ ʦɪk̚˥
教職	kaːu˧ tsɪk̚˥
教育	kaːu˧ jʊk̚˨
教育制度	kaːu˧ jʊk̚˨ ʦɐi˧ tou˨
教育厅	kaːu˧ jʊk̚˨ tʰɪŋ˥
教育厅长	kaːu˧ jʊk̚˨ tʰɪŋ˥ ʦœːŋ˧˥
教育学	kaːu˧ jʊk̚˨ hɔːk̚˨
教育学院	kaːu˧ jʊk̚˨ hɔːk̚˨ jyːn˨
教育學	kaːu˧ jʊk̚˨ hɔːk̚˨
教育學院	kaːu˧ jʊk̚˨ hɔːk̚˨ jyːn˨
教育家	kaːu˧ jʊk̚˨ kaː˥
教育局	kaːu˧ jʊk̚˨ kʊk̚˨
教育局長	kaːu˧ jʊk̚˨ kʊk̚˨ tsœːŋ˧˥
教育局长	kaːu˧ jʊk̚˨ kʊk̚˨ ʦœːŋ˧˥
教育廳	kaːu˧ jʊk̚˨ tʰɪŋ˥
教育廳長	kaːu˧ jʊk̚˨ tʰɪŋ˥ tsœːŋ˧˥
教育改革	kaːu˧ jʊk̚˨ kɔːi˧˥ kaːk̚˧
教育方針	kaːu˧ jʊk̚˨ fɔːŋ˥ tsɐm˥
教育方针	kaːu˧ jʊk̚˨ fɔːŋ˥ ʦɐm˥
教育界	kaːu˧ jʊk̚˨ kaːi˧
教育部	kaːu˧ jʊk̚˨ pou˨
教育部長	kaːu˧ jʊk̚˨ pou˨ tsœːŋ˧˥
教育部长	kaːu˧ jʊk̚˨ pou˨ ʦœːŋ˧˥
教規	kaːu˧ kʷʰɐi˥
教规	kaːu˧ kʷʰɐi˥
教訓	kaːu˧ fɐn˧
教誡	kaːu˧ kaːi˧
教誨	kaːu˧ fuːi˧
教训	kaːu˧ fɐn˧
教诫	kaːu˧ kaːi˧
教诲	kaːu˧ fuːi˧
教養	kaːu˧ jœːŋ˩˧
敚	tyːt̚˨
敛	liːm˨
敜	niːp̚˨
敝	pɐi˨
敝人	pɐi˨ jɐn˨˩
敝履	pɐi˨ lei˩˧
敞	ʦʰɔːŋ˧˥
敞亮	ʦʰɔːŋ˧˥ lœːŋ˨
敞口	ʦʰɔːŋ˧˥ hɐu˧˥
敞开	ʦʰɔːŋ˧˥ hɔːi˥
敞篷	ʦʰɔːŋ˧˥ pʰʊŋ˨˩
敞篷車	tsʰɔːŋ˧˥ pʰʊŋ˨˩ tsʰɛː˥
敞篷车	ʦʰɔːŋ˧˥ pʰʊŋ˨˩ ʦʰɛː˥
敞胸露怀	ʦʰɔːŋ˧˥ hʊŋ˥ lou˨ waːi˨˩
敞胸露懷	tsʰɔːŋ˧˥ hʊŋ˥ lou˨ waːi˨˩
敞開	tsʰɔːŋ˧˥ hɔːi˥
敢	kɐm˧˥
敢于	kɐm˧˥ jyː˥
敢于担当	kɐm˧˥ jyː˥ taːm˥ tɔːŋ˥
敢作敢为	kɐm˧˥ ʦɔːk̚˧ kɐm˧˥ wɐi˨˩
敢作敢当	kɐm˧˥ ʦɔːk̚˧ kɐm˧˥ tɔːŋ˥
敢作敢為	kɐm˧˥ tsɔːk̚˧ kɐm˧˥ wɐi˨˩
敢作敢當	kɐm˧˥ tsɔːk̚˧ kɐm˧˥ tɔːŋ˥
敢問	kɐm˧˥ mɐn˨
敢当	kɐm˧˥ tɔːŋ˥
敢怒不敢言	kɐm˧˥ nou˨ pɐt̚˥ kɐm˧˥ iːn˨˩
敢怒而不敢言	kɐm˧˥ nou˨ iː˨˩ pɐt̚˥ kɐm˧˥ iːn˨˩
敢於	kɐm˧˥ jyː˥
敢於擔當	kɐm˧˥ jyː˥ taːm˥ tɔːŋ˥
敢死	kɐm˧˥ sei˧˥
敢死队	kɐm˧˥ sei˧˥ tɵy˨
敢死隊	kɐm˧˥ sei˧˥ tɵy˨
敢當	kɐm˧˥ tɔːŋ˥
敢问	kɐm˧˥ mɐn˨
散	saːn˧˥
散仔	saːn˧˥ ʦɐi˧˥
散会	saːn˧ uːi˨
散传单	saːn˧ ʦʰyːn˨˩ taːn˥
散佈	saːn˧ pou˧
散使	saːn˧˥ sɐi˧˥
散修修	saːn˧˥ sɐu˥ sɐu˥
散傳單	saːn˧ tsʰyːn˨˩ taːn˥
散卖	saːn˧˥ maːi˨
散发	saːn˧˥ faːt̚˧
散咗	saːn˧˥ ʦɔː˧˥
散居	saːn˧˥ kɵy˥
散工	saːn˧˥ kʊŋ˥
散布	saːn˧ pou˧
散心	saːn˧ sɐm˥
散悶	saːn˧ muːn˨
散手	saːn˧˥ sɐu˧˥
散收收	saːn˧˥ sɐu˥ sɐu˥
散散修修	saːn˧˥ saːn˧˥ sɐu˥ sɐu˥
散散收收	saːn˧˥ saːn˧˥ sɐu˥ sɐu˥
散文	saːn˧˥ mɐn˨˩
散春	saːn˧ ʦʰɵn˥
散會	saːn˧ wuːi˨
散档	saːn˧ tɔːŋ˧
散檔	saːn˧ tɔːŋ˧
散步	saːn˧ pou˨
散毒	saːn˧ tʊk̚˨
散水	saːn˧ sɵy˧˥
散漫	saːn˧˥ maːn˨
散瘀	saːn˧ jyː˧˥
散紙	saːn˧˥ tsiː˧˥
散纸	saːn˧˥ ʦiː˧˥
散膥	saːn˧ ʦʰɵn˥
散花	saːn˧ faː˥
散装	saːn˧˥ ʦɔːŋ˥
散裝	saːn˧˥ tsɔːŋ˥
散賣	saːn˧˥ maːi˨
散銀	saːn˧˥ ŋɐn˨˩
散银	saːn˧˥ ŋɐn˨˩
散闷	saːn˧ muːn˨
散髮	saːn˧˥ faːt̚˧
敦	tɵn˥
敦煌	tɵn˥ wɔːŋ˨˩
敦煌石窟	tɵn˥ wɔːŋ˨˩ sɛːk̚˨ kʷɐt̚˨
敧	kei˥
敨	tʰɐu˧˥
敨凉	tʰɐu˧˥ lœːŋ˨˩
敨吓	tʰɐu˧˥ haː˩˧
敨啖气	tʰɐu˧˥ taːm˨ hei˧
敨啖氣	tʰɐu˧˥ taːm˨ hei˧
敨工	tʰɐu˧˥ kʊŋ˥
敨气	tʰɐu˧˥ hei˧
敨氣	tʰɐu˧˥ hei˧
敨涼	tʰɐu˧˥ lœːŋ˨˩
敨身	tʰɐu˧˥ sɐn˥
敩	haːu˨
敪	ʦyːt̚˧
敬	kɪŋ˧
敬业	kɪŋ˧ iːp̚˨
敬业精神	kɪŋ˧ iːp̚˨ ʦɪŋ˥ sɐn˨˩
敬業	kɪŋ˧ jiːp̚˨
敬業精神	kɪŋ˧ jiːp̚˨ tsɪŋ˥ sɐn˨˩
敬而远之	kɪŋ˧ iː˨˩ jyːn˨ ʦiː˥
敬而遠之	kɪŋ˧ jiː˨˩ jyːn˨ tsiː˥
敬請	kɪŋ˧ tsʰɪŋ˧˥
敬請指教	kɪŋ˧ tsʰɪŋ˧˥ tsiː˧˥ kaːu˧
敬请	kɪŋ˧ ʦʰɪŋ˧˥
敬请指教	kɪŋ˧ ʦʰɪŋ˧˥ ʦiː˧˥ kaːu˧
敬酒不吃吃罚酒	kɪŋ˧ ʦɐu˧˥ pɐt̚˥ hɛːk̚˧ hɛːk̚˧ fɐt̚˨ ʦɐu˧˥
敬酒不吃吃罰酒	kɪŋ˧ tsɐu˧˥ pɐt̚˥ hɛːk̚˧ hɛːk̚˧ fɐt̚˨ tsɐu˧˥
敬重	kɪŋ˧ ʦʊŋ˨
敬鬼神而远之	kɪŋ˧ kʷɐi˧˥ sɐn˨˩ iː˨˩ jyːn˨ ʦiː˥
敬鬼神而遠之	kɪŋ˧ kʷɐi˧˥ sɐn˨˩ jiː˨˩ jyːn˨ tsiː˥
数	sɔːk̚˧
数典忘祖	sou˧˥ tiːn˧˥ mɔːŋ˨˩ ʦou˧˥
数唔切	sou˧˥ m̩˨˩ ʦʰiːt̚˧
数字	sou˧ ʦiː˧˥
数字键	sou˧ ʦiː˨ kiːn˨
数学	sou˧ hɔːk̚˨
数学家	sou˧ hɔːk̚˨ kaː˥
数据	sou˧ kɵy˧
数据库	sou˧ kɵy˧ fuː˧
数据机	sou˧ kɵy˧ kei˥
数白榄	sou˧˥ paːk̚˨ laːm˧˥
数目	sou˧ mʊk̚˨
数目字	sou˧ mʊk̚˨ ʦiː˨
数码	sou˧ maː˩˧
数码相机	sou˧ maː˩˧ sœːŋ˧˥ kei˥
数簿	sou˧ pou˧˥
数臭	sou˧˥ tsʰɐu˧
数量	sou˧ lœːŋ˨
敲	haːu˥
整	ʦɪŋ˧˥
整乌糟	ʦɪŋ˧˥ uː˥ ʦou˥
整乜嘢鬼	ʦɪŋ˧˥ mɐt̚˥ jɛː˩˧ kʷɐi˧˥
整乱	ʦɪŋ˧˥ lyːn˨
整亂	tsɪŋ˧˥ lyːn˨
整亲	ʦɪŋ˧˥ ʦʰɐn˥
整伤	ʦɪŋ˧˥ sœːŋ˥
整体	ʦɪŋ˧˥ tʰɐi˧˥
整傷	tsɪŋ˧˥ sœːŋ˥
整出嚟	ʦɪŋ˧˥ ʦʰɵt̚˥ lei˨˩
整古	ʦɪŋ˧˥ kuː˧˥
整古做怪	ʦɪŋ˧˥ kuː˧˥ ʦou˨ kʷaːi˧
整古弄怪	ʦɪŋ˧˥ kuː˧˥ lʊŋ˨ kʷaːi˧
整唔切	ʦɪŋ˧˥ m̩˨˩ ʦʰiːt̚˧
整唔掂	tsɪŋ˧˥ m̩˨˩ tiːm˨
整唔番	ʦɪŋ˧˥ m̩˨˩ faːn˥
整唔翻	ʦɪŋ˧˥ m̩˨˩ faːn˥
整唔返	ʦɪŋ˧˥ m̩˨˩ faːn˥
整唔𠶧	tsɪŋ˧˥ m̩˨˩ tiːm˨
整喊	tsɪŋ˧˥ haːm˧
整定	ʦɪŋ˧˥ tɪŋ˨
整容	ʦɪŋ˧˥ jʊŋ˨˩
整损	ʦɪŋ˧˥ syːn˧˥
整损手	ʦɪŋ˧˥ syːn˧˥ sɐu˧˥
整損	tsɪŋ˧˥ syːn˧˥
整損手	tsɪŋ˧˥ syːn˧˥ sɐu˧˥
整整吓	ʦɪŋ˧˥ ʦɪŋ˧˥ haː˩˧
整污糟	ʦɪŋ˧˥ uː˥ ʦou˥
整治	ʦɪŋ˧˥ ʦiː˨
整洁	ʦɪŋ˧˥ kiːt̚˧
整潔	tsɪŋ˧˥ kiːt̚˧
整烂	ʦɪŋ˧˥ laːn˨
整烂咗	ʦɪŋ˧˥ laːn˨ ʦɔː˧˥
整烏糟	tsɪŋ˧˥ wuː˥ tsou˥
整爛	tsɪŋ˧˥ laːn˨
整爛咗	tsɪŋ˧˥ laːn˨ tsɔː˧˥
整理	ʦɪŋ˧˥ lei˩˧
整番几味	ʦɪŋ˧˥ faːn˥ kei˧˥ mei˨
整番好	ʦɪŋ˧˥ faːn˥ hou˧˥
整番幾味	tsɪŋ˧˥ faːn˥ kei˧˥ mei˨
整痛	ʦɪŋ˧˥ tʰʊŋ˧
整翻	ʦɪŋ˧˥ faːn˥
整翻几味	ʦɪŋ˧˥ faːn˥ kei˧˥ mei˨
整翻好	ʦɪŋ˧˥ faːn˥ hou˧˥
整翻幾味	tsɪŋ˧˥ faːn˥ kei˧˥ mei˨
整蛊	ʦɪŋ˧˥ kuː˧˥
整蛊做怪	ʦɪŋ˧˥ kuː˧˥ ʦou˨ kʷaːi˧
整蠱	tsɪŋ˧˥ kuː˧˥
整蠱做怪	tsɪŋ˧˥ kuː˧˥ tsou˨ kʷaːi˧
整衰	ʦɪŋ˧˥ sɵy˥
整衰晒	ʦɪŋ˧˥ sɵy˥ saːi˧
整親	tsɪŋ˧˥ tsʰɐn˥
整資料	tsɪŋ˧˥ tsiː˥ liːu˨
整资料	ʦɪŋ˧˥ ʦiː˥ liːu˨
整路	ʦɪŋ˧˥ lou˨
整車	tsɪŋ˧˥ tsʰɛː˥
整车	ʦɪŋ˧˥ ʦʰɛː˥
整返几味	ʦɪŋ˧˥ faːn˥ kei˧˥ mei˨
整返好	ʦɪŋ˧˥ faːn˥ hou˧˥
整返幾味	tsɪŋ˧˥ faːn˥ kei˧˥ mei˨
整飯	tsɪŋ˧˥ faːn˨
整餸	tsɪŋ˧˥ sʊŋ˧
整饭	ʦɪŋ˧˥ faːn˨
整體	tsɪŋ˧˥ tʰɐi˧˥
整鬼	ʦɪŋ˧˥ kʷɐi˧˥
整鬼整怪	ʦɪŋ˧˥ kʷɐi˧˥ ʦɪŋ˧˥ kʷaːi˧
整鬼整馬	tsɪŋ˧˥ kʷɐi˧˥ tsɪŋ˧˥ maː˩˧
整鬼整马	ʦɪŋ˧˥ kʷɐi˧˥ ʦɪŋ˧˥ maː˩˧
整齊	tsɪŋ˧˥ tsʰɐi˨˩
整齐	ʦɪŋ˧˥ ʦʰɐi˨˩
整𩠌	ʦɪŋ˧˥ sʊŋ˧
敵	tɪk̚˨
敵人	tɪk̚˨ jɐn˨˩
敵軍	tɪk̚˨ kʷɐn˥
敷	fuː˥
敷衍	fuː˥ iːn˧˥
敷衍了事	fuː˥ iːn˧˥ liːu˩˧ siː˨
數典忘祖	sou˧˥ tiːn˧˥ mɔːŋ˨˩ tsou˧˥
數唔切	sou˧˥ m̩˨˩ tsʰiːt̚˧
數字	sou˧ tsiː˧˥
數字鍵	sou˧ tsiː˨ kiːn˨
數學	sou˧ hɔːk̚˨
數學家	sou˧ hɔːk̚˨ kaː˥
數據	sou˧ kɵy˧
數據庫	sou˧ kɵy˧ fuː˧
數據機	sou˧ kɵy˧ kei˥
數白欖	sou˧˥ paːk̚˨ laːm˧˥
數目	sou˧ mʊk̚˨
數目字	sou˧ mʊk̚˨ tsiː˨
數碼	sou˧ maː˩˧
數碼相機	sou˧ maː˩˧ sœːŋ˧˥ kei˥
數簿	sou˧ pou˧˥
數臭	sou˧˥ tsʰɐu˧
數量	sou˧ lœːŋ˨
敹	liːu˨˩
敻	hɪŋ˧
敿	kiːu˧˥
斁	tou˧
斂	liːm˨
斃	pɐi˨
斆	haːu˨
文	mɐn˥
文书处理器	mɐn˨˩ syː˥ tsʰyː˩˧ lei˩˧ hei˧
文人	mɐn˨˩ jɐn˨˩
文件	mɐn˨˩ kiːn˧˥
文件夹	mɐn˨˩ kiːn˧˥ kaːp̚˧
文件夾	mɐn˨˩ kiːn˧˥ kaːp̚˧
文具	mɐn˨˩ kɵy˨
文具店	mɐn˨˩ kɵy˨ tiːm˧
文具用品	mɐn˨˩ kɵy˨ jʊŋ˨ pɐn˧˥
文具舖	mɐn˨˩ kɵy˨ pʰou˧˥
文具行	mɐn˨˩ kɵy˨ hɔːŋ˨˩
文具鋪	mɐn˨˩ kɵy˨ pʰou˧˥
文具铺	mɐn˨˩ kɵy˨ pʰou˧˥
文几	mɐn˥ kei˧˥
文几两文	mɐn˥ kei˧˥ lœːŋ˩˧ mɐn˥
文凭	mɐn˨˩ pʰɐŋ˨˩
文化	mɐn˨˩ faː˧
文化交流	mɐn˨˩ faː˧ kaːu˥ lɐu˨˩
文化人	mɐn˨˩ faː˧ jɐn˨˩
文化史	mɐn˨˩ faː˧ siː˧˥
文化圈	mɐn˨˩ faː˧ hyːn˥
文化大革命	mɐn˨˩ faː˧ taːi˨ kaːk̚˧ mɪŋ˨
文化水平	mɐn˨˩ faː˧ sɵy˧˥ pʰɪŋ˨˩
文坛	mɐn˨˩ tʰaːn˨˩
文坛巨擘	mɐn˨˩ tʰaːn˨˩ kɵy˨ maːk̚˧
文壇	mɐn˨˩ tʰaːn˨˩
文壇巨擘	mɐn˨˩ tʰaːn˨˩ kɵy˨ maːk̚˧
文字	mɐn˨˩ ʦiː˨
文字狱	mɐn˨˩ ʦiː˨ jʊk̚˨
文字獄	mɐn˨˩ tsiː˨ jʊk̚˨
文学	mɐn˨˩ hɔːk̚˨
文学作品	mɐn˨˩ hɔːk̚˨ ʦɔːk̚˧ pɐn˧˥
文学史	mɐn˨˩ hɔːk̚˨ siː˧˥
文学家	mɐn˨˩ hɔːk̚˨ kaː˥
文学界	mɐn˨˩ hɔːk̚˨ kaːi˧
文学系	mɐn˨˩ hɔːk̚˨ hɐi˨
文学评论	mɐn˨˩ hɔːk̚˨ pʰɪŋ˨˩ lɵn˨
文学运动	mɐn˨˩ hɔːk̚˨ wɐn˨ tʊŋ˨
文学院	mɐn˨˩ hɔːk̚˨ jyːn˨
文学馆	mɐn˨˩ hɔːk̚˨ kuːn˧˥
文學	mɐn˨˩ hɔːk̚˨
文學作品	mɐn˨˩ hɔːk̚˨ tsɔːk̚˧ pɐn˧˥
文學史	mɐn˨˩ hɔːk̚˨ siː˧˥
文學家	mɐn˨˩ hɔːk̚˨ kaː˥
文學界	mɐn˨˩ hɔːk̚˨ kaːi˧
文學系	mɐn˨˩ hɔːk̚˨ hɐi˨
文學評論	mɐn˨˩ hɔːk̚˨ pʰɪŋ˨˩ lɵn˨
文學運動	mɐn˨˩ hɔːk̚˨ wɐn˨ tʊŋ˨
文學院	mɐn˨˩ hɔːk̚˨ jyːn˨
文學館	mɐn˨˩ hɔːk̚˨ kuːn˧˥
文官	mɐn˨˩ kuːn˥
文幾	mɐn˥ kei˧˥
文幾兩文	mɐn˥ kei˧˥ lœːŋ˩˧ mɐn˥
文憑	mɐn˨˩ pʰɐŋ˨˩
文房	mɐn˨˩ fɔːŋ˨˩
文房四宝	mɐn˨˩ fɔːŋ˨˩ sei˧ pou˧˥
文房四寶	mɐn˨˩ fɔːŋ˨˩ sei˧ pou˧˥
文摘	mɐn˨˩ ʦaːk̚˨
文教	mɐn˨˩ kaːu˧
文教界	mɐn˨˩ kaːu˧ kaːi˧
文明	mɐn˨˩ mɪŋ˨˩
文明人	mɐn˨˩ mɪŋ˨˩ jɐn˨˩
文明史	mɐn˨˩ mɪŋ˨˩ siː˧˥
文明国家	mɐn˨˩ mɪŋ˨˩ kʷɔːk̚˧ kaː˥
文明國家	mɐn˨˩ mɪŋ˨˩ kʷɔːk̚˧ kaː˥
文明病	mɐn˨˩ mɪŋ˨˩ pɪŋ˨
文明社会	mɐn˨˩ mɪŋ˨˩ sɛː˩˧ uːi˨
文明社會	mɐn˨˩ mɪŋ˨˩ sɛː˩˧ wuːi˨
文書處理器	mɐn˨˩ syː˥ tsʰyː˩˧ lei˩˧ hei˧
文本	mɐn˨˩ puːn˧˥
文武	mɐn˨˩ mou˩˧
文法	mɐn˨˩ faːt̚˧
文物	mɐn˨˩ mɐt̚˨
文献	mɐn˨˩ hiːn˧
文獻	mɐn˨˩ hiːn˧
文盲	mɐn˨˩ maːŋ˨˩
文盲率	mɐn˨˩ maːŋ˨˩ lɵt̚˨
文科	mɐn˨˩ fɔː˥
文科学生	mɐn˨˩ fɔː˥ hɔːk̚˨ saːŋ˥
文科學生	mɐn˨˩ fɔː˥ hɔːk̚˨ saːŋ˥
文稿	mɐn˨˩ kou˧˥
文章	mɐn˨˩ ʦœːŋ˥
文笔	mɐn˨˩ pɐt̚˥
文笔流畅	mɐn˨˩ pɐt̚˥ lɐu˨˩ ʦʰœːŋ˧
文筆	mɐn˨˩ pɐt̚˥
文筆流暢	mɐn˨˩ pɐt̚˥ lɐu˨˩ tsʰœːŋ˧
文縐縐	mɐn˨˩ tsɐu˧ tsɐu˧
文绉绉	mɐn˨˩ ʦɐu˧ ʦɐu˧
文职	mɐn˨˩ ʦɪk̚˥
文职人员	mɐn˨˩ ʦɪk̚˥ jɐn˨˩ jyːn˨˩
文職	mɐn˨˩ tsɪk̚˥
文職人員	mɐn˨˩ tsɪk̚˥ jɐn˨˩ jyːn˨˩
文艺	mɐn˨˩ ŋɐi˨
文艺圈	mɐn˨˩ ŋɐi˨ hyːn˥
文艺复兴	mɐn˨˩ ŋɐi˨ fʊk̚˨ hɪŋ˥
文艺活动	mɐn˨˩ ŋɐi˨ uːt̚˨ tʊŋ˨
文艺界	mɐn˨˩ ŋɐi˨ kaːi˧
文言文	mɐn˨˩ iːn˨˩ mɐn˨˩
文选	mɐn˨˩ syːn˧˥
文选集	mɐn˨˩ syːn˧˥ ʦaːp̚˨
文選	mɐn˨˩ syːn˧˥
文選集	mɐn˨˩ syːn˧˥ tsaːp̚˨
文采	mɐn˨˩ ʦʰɔːi˧˥
文雀	mɐn˨˩ tsœːk̚˧
文雅	mɐn˨˩ ŋaː˩˧
文雞	mɐn˥ kɐi˥
文零	mɐn˥ lɛːŋ˨˩
文革	mɐn˨˩ kaːk̚˧
文革时期	mɐn˨˩ kaːk̚˧ siː˨˩ kʰei˨˩
文革時期	mɐn˨˩ kaːk̚˧ siː˨˩ kʰei˨˩
文風	mɐn˨˩ fʊŋ˥
文風不動	mɐn˨˩ fʊŋ˥ pɐt̚˥ tʊŋ˨
文风	mɐn˨˩ fʊŋ˥
文风不动	mɐn˨˩ fʊŋ˥ pɐt̚˥ tʊŋ˨
文鷄	mɐn˥ kɐi˥
文鸡	mɐn˥ kɐi˥
斈	hɔːk̚˨
斋	ʦaːi˥
斋talk	ʦaːi˥ tʰɔːk̚˥
斋卤味	ʦaːi˥ lou˩˧ mei˧˥
斋啡	ʦaːi˥ fɛː˥
斋堂	ʦaːi˥ tʰɔːŋ˧˥
斋戒	ʦaːi˥ kaːi˧
斋戒日	ʦaːi˥ kaːi˧ jɐt̚˨
斋戒沐浴	ʦaːi˥ kaːi˧ mʊk̚˨ jʊk̚˨
斋日	ʦaːi˥ jɐt̚˨
斋汤	ʦaːi˥ tʰɔːŋ˥
斋睇唔买	tsaːi˥ tʰɐi˧˥ m̩˨˩ maːi˩˧
斋肠	ʦaːi˥ ʦʰœːŋ˧˥
斋菜	ʦaːi˥ ʦʰɔːi˧
斋馆	ʦaːi˥ kuːn˧˥
斌	pɐn˥
斐	fei˧˥
斑	paːn˥
斑斓	paːn˥ laːn˨˩
斑斕	paːn˥ laːn˨˩
斑馬	paːn˥ maː˩˧
斑馬佬	paːn˥ maː˩˧ lou˧˥
斑马	paːn˥ maː˩˧
斑马佬	paːn˥ maː˩˧ lou˧˥
斑鳩	paːn˥ kɐu˥
斑鸠	paːn˥ kɐu˥
斒	paːn˥
斓	laːn˨˩
斕	laːn˨˩
斗	tɐu˧
斗一张台	tɐu˧ jɐt̚˥ ʦœːŋ˥ tʰɔːi˧˥
斗个木桶	tɐu˧ kɔː˧ mʊk̚˨ tʰʊŋ˧˥
斗争	tɐu˧ ʦɐŋ˥
斗争性	tɐu˧ ʦɐŋ˥ sɪŋ˧
斗争意志	tɐu˧ ʦɐŋ˥ iː˧ ʦiː˧
斗令	tɐu˧˥ lɪŋ˧˥
斗到七彩	tɐu˧ tou˧ tsʰɐt̚˥ tsʰɔːi˧˥
斗叻	tɐu˧ lɛːk̚˥
斗唔埋	tɐu˧ m̩˨˩ maːi˨˩
斗士	tɐu˧ siː˨
斗大力	tɐu˧ taːi˨ lɪk̚˨
斗大胆	tɐu˧ taːi˨ taːm˧˥
斗志	tɐu˧ ʦiː˧
斗志昂扬	tɐu˧ ʦiː˧ ŋɔːŋ˨˩ jœːŋ˨˩
斗快	tɐu˧ faːi˧
斗批改	tɐu˧ pʰɐi˥ kɔːi˧˥
斗挞	tɐu˧ taːt̚˧
斗撑	tɐu˧ ʦʰaːŋ˥
斗智	tɐu˧ ʦiː˧
斗智斗力	tɐu˧ ʦiː˧ tɐu˧ lɪk̚˨
斗木	tɐu˧ mʊk̚˨
斗木佬	tɐu˧ mʊk̚˨ lou˧˥
斗木师傅	tɐu˧ mʊk̚˨ siː˥ fuː˧˥
斗栱	tɐu˧˥ kʊŋ˧˥
斗棋	tɐu˧ kʰei˧˥
斗殴	tɐu˧ ɐu˧˥
斗气	tɐu˧ hei˧
斗牛	tɐu˧ ŋɐu˨˩
斗牛场	tɐu˧ ŋɐu˨˩ ʦʰœːŋ˨˩
斗牛士	tɐu˧ ŋɐu˨˩ siː˨
斗私批修	tɐu˧ siː˥ pʰɐi˥ sɐu˥
斗笠	tɐu˧˥ lɐp̚˥
斗笪	tɐu˧ taːt̚˧
斗细佬哥	tɐu˧ sɐi˧ lou˧˥ kɔː˥
斗蟀	tɐu˧ ʦɵt̚˥
斗蟋蟀	tɐu˧ sɪk̚˥ sɵt̚˥
斗负气	tɐu˧ fuː˧ hei˧
斗走	tɐu˧ ʦɐu˧˥
斗车	tɐu˧ ʦʰɛː˥
斗醒	tɐu˧ sɪŋ˧˥
斗零	tɐu˧˥ lɪŋ˧˥
斗靓	tɐu˧ lɛːŋ˧
斗驳	tɐu˧ pɔːk̚˧
斗鸡	tɐu˧ kɐi˥
斗鸡场	tɐu˧ kɐi˥ ʦʰœːŋ˨˩
斗鸡眼	tɐu˧ kɐi˥ ŋaːn˩˧
斗龙船	tɐu˧ lʊŋ˨˩ syːn˨˩
斗𢴈	tɐu˧ taːt̚˧
料	liːu˧˥
料事如神	liːu˨ siː˨ jyː˨˩ sɐn˨˩
斛	hʊk̚˨
斜	ʦʰɛː˧
斜喱眼	ʦʰɛː˥ lei˥ ŋaːn˩˧
斜坡	ʦʰɛː˨˩ pʰɔː˥
斜骨	tsʰɛː˨˩ kʷɐt̚˥
斝	kaː˧˥
斞	jyː˩˧
斟	ʦɐm˥
斟出	ʦɐm˥ ʦʰɵt̚˥
斟出嚟	ʦɐm˥ ʦʰɵt̚˥ lei˨˩
斟吓	ʦɐm˥ haː˩˧
斟唔掂	ʦɐm˥ m̩˨˩ tiːm˨
斟唔𠶧	ʦɐm˥ m̩˨˩ tiːm˨
斟水	ʦɐm˥ sɵy˧˥
斟泻	ʦɐm˥ sɛː˧˥
斟瀉	tsɐm˥ sɛː˧˥
斟盘	ʦɐm˥ pʰuːn˧˥
斟盤	tsɐm˥ pʰuːn˧˥
斟茶	ʦɐm˥ ʦʰaː˨˩
斟豉油	ʦɐm˥ siː˨ jɐu˨˩
斟酌	ʦɐm˥ ʦœːk̚˧
斟酒	ʦɐm˥ ʦɐu˧˥
斠	kaːu˧
斡	kuːn˧˥
斡旋	waːt̚˧ syːn˨˩
斤	kɐn˥
斤斤計較	kɐn˥ kɐn˥ kɐi˧ kaːu˧
斤斤计较	kɐn˥ kɐn˥ kɐi˧ kaːu˧
斥	ʦʰɪk̚˥
斥喝	ʦʰɪk̚˥ hɔːt̚˧
斥罵	tsʰɪk̚˥ maː˨
斥責	tsʰɪk̚˥ tsaːk̚˧
斥责	ʦʰɪk̚˥ ʦaːk̚˧
斥骂	ʦʰɪk̚˥ maː˨
斧	fuː˧˥
斧头	fuː˧˥ tʰɐu˨˩
斧頭	fuː˧˥ tʰɐu˨˩
斨	ʦʰœːŋ˥
斩	ʦaːm˧˥
斩人	ʦaːm˧˥ jɐn˨˩
斩件	ʦaːm˧˥ kiːn˨
斩伤	ʦaːm˧˥ sœːŋ˥
斩到一颈血	ʦaːm˧˥ tou˧ jɐt̚˥ kɛːŋ˧˥ hyːt̚˧
斩吓眼	ʦaːm˧˥ haː˩˧ ŋaːn˩˧
斩头	ʦaːm˧˥ tʰɐu˧˥
斩头鬼	ʦaːm˧˥ tʰɐu˧˥ kʷɐi˧˥
斩手指	ʦaːm˧˥ sɐu˧˥ ʦiː˧˥
斩柴	tsaːm˧˥ tsʰaːi˨˩
斩柴佬	tsaːm˧˥ tsʰaːi˨˩ lou˧˥
斩树	ʦaːm˧˥ syː˨
